Year,Name,Volume
2012,AAPL,32.994076346
2012,AMZN,1.050233531
2012,GOOGL,0.649998834
2012,IBM,1.020874087
2012,JPM,8.267915072
2013,AAPL,25.606397999
2013,AMZN,0.748378451
2013,GOOGL,0.526336666
2013,IBM,1.069999353
2013,JPM,5.324287797
2014,AAPL,15.934492689999999
2014,AMZN,1.030226257
2014,GOOGL,0.529858529
2014,IBM,1.140046829
2014,JPM,3.985797974
2015,AAPL,13.01993994
2015,AMZN,0.954245799
2015,GOOGL,0.545842483
2015,IBM,1.100959104
2015,JPM,3.992625707
2016,AAPL,9.625820389
2016,AMZN,1.034016481
2016,GOOGL,0.493769102
2016,IBM,1.016418393
2016,JPM,4.289325011
2017,AAPL,6.811235883
2017,AMZN,0.8829259
2017,GOOGL,0.405862262
2017,IBM,1.067761571
2017,JPM,3.488062616
